,filename,alloc_size,array_index,bitvector,boolean,branch_cond,char_def,char_use,const_assign,counter,file_def,file_use,input,linear,loop_bound,loop_iterator,mode,offset,synt_const,unresolved_assign,used_in_arithm,A1,B2,C3,D4,E5,F6,G7,H8,I9,J10,K11,L12,M13,labels
21,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-kernel-locking-spinlock__drivers-net-ethernet-dlink-sundance_true-unreach-call.cil.c,0.11,0.78,3.49,24.32,8.78,0.0,0.0,29.27,31.81,0.0,0.0,13.62,34.45,0.0,0.0,14.07,1.35,17.39,13.96,8.22,48.5714,51.4286,68.5714,8.57143,31.4286,4.41324,3.36257,5.0,27.0,1427.0,411.0,33.0,983.0,10.0
22,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__linux-kernel-locking-mutex__drivers-media-i2c-cx25840-cx25840_true-unreach-call.cil.c,0.09,0.38,4.92,20.54,7.23,0.0,0.0,24.5,22.23,0.0,0.0,4.43,28.89,0.0,0.0,10.46,0.14,11.91,7.86,9.06,48.0,52.0,60.0,8.0,40.0,1.06273,0.389327,5.0,631.0,2142.0,290.0,70.0,1782.0,10.0
23,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__linux-kernel-locking-mutex__drivers-net-ethernet-intel-ixgbe-ixgbe_true-unreach-call.cil.c,0.01,1.09,4.57,17.78,8.0,0.0,0.0,27.11,27.29,0.0,0.0,3.46,30.92,0.0,0.0,14.88,1.02,17.0,3.88,9.34,51.7467,54.3668,61.3537,0.43668100000000004,38.6463,9.79585,4.689030000000001,5.0,4372.0,10297.0,3934.0,257.0,6106.0,10.0
24,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__linux-alloc-spinlock__drivers-net-wireless-rtlwifi-rtl8723ae-rtl8723ae_true-unreach-call.cil.c,0.03,0.63,18.33,14.4,21.12,0.0,0.0,20.16,22.46,0.0,0.0,2.6,23.36,0.0,0.1,6.8,0.68,8.63,3.18,6.22,41.129,58.871,72.5806,1.6129,27.4194,2.05772,1.05115,5.0,45.0,6211.0,1505.0,144.0,4562.0,10.0
25,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-alloc-spinlock__drivers-net-ethernet-cisco-enic-enic_true-unreach-call.cil.c,0.04,0.86,1.73,20.1,13.46,0.0,0.0,31.71,32.77,0.0,0.0,6.66,40.54,0.0,0.0,12.22,2.77,15.29,11.28,9.19,27.0,30.0,38.0,3.0,62.0,3.68537,2.1846200000000002,5.0,28.0,4855.0,965.0,100.0,3790.0,10.0
26,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-usb-dev__drivers-net-ethernet-emulex-benet-be2net_true-unreach-call.cil.c,0.03,1.4,2.98,16.25,12.26,0.0,0.0,24.79,25.48,0.0,0.0,5.53,30.04,0.0,0.0,9.8,2.18,12.53,5.66,11.51,22.1311,27.8689,31.1475,2.45902,68.8525,2.9316,1.55987,5.0,48.0,3956.0,1155.0,81.0,2720.0,10.0
27,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-kernel-locking-mutex__fs-binfmt_misc_true-unreach-call.cil.c,0.23,0.0,0.34,18.68,10.14,0.0,0.0,24.68,23.64,0.0,0.0,16.03,27.68,0.0,0.0,12.8,1.26,16.6,16.03,7.38,0.0,0.0,8.33333,25.0,91.6667,4.75113,4.05405,5.0,22.0,684.0,89.0,14.0,581.0,10.0
28,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__linux-kernel-locking-spinlock__drivers-net-wireless-rtlwifi-rtl8723ae-rtl8723ae_true-unreach-call.cil.c,0.03,0.63,18.38,14.46,21.21,0.0,0.0,20.01,22.32,0.0,0.0,2.61,23.22,0.0,0.1,6.81,0.68,8.64,3.19,6.22,41.129,58.871,72.5806,1.6129,27.4194,2.0628900000000003,1.06397,5.0,45.0,4334.0,1228.0,108.0,2998.0,10.0
29,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__linux-kernel-locking-mutex__drivers-net-ethernet-broadcom-bnx2_true-unreach-call.cil.c,0.05,0.84,8.27,17.07,10.62,0.0,0.0,27.9,27.72,0.0,0.0,6.47,34.22,0.0,0.0,9.03,2.43,13.63,6.68,11.97,39.3701,45.6693,51.1811,1.5748,48.8189,3.9069800000000003,2.21821,5.0,667.0,3260.0,1092.0,76.0,2092.0,10.0
30,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-usb-dev__drivers-net-ethernet-natsemi-natsemi_true-unreach-call.cil.c,0.09,0.54,6.56,16.41,6.41,0.0,0.0,21.94,23.63,0.0,0.0,7.71,27.16,0.0,0.0,10.64,1.04,14.42,8.15,8.7,70.0,70.0,72.5,7.5,27.5,4.06504,2.82792,5.0,27.0,1504.0,386.0,46.0,1072.0,10.0
31,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-kernel-locking-spinlock__drivers-media-platform-sh_vou_true-unreach-call.cil.c,0.12,0.8,1.61,14.74,8.33,0.0,0.0,24.33,23.39,0.0,0.0,10.45,26.13,0.0,0.0,9.7,0.31,13.0,10.45,8.83,35.2941,35.2941,41.1765,17.6471,58.8235,8.24607,5.34539,5.0,30.0,1372.0,229.0,31.0,1112.0,10.0
32,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-usb-dev__drivers-net-ethernet-marvell-sky2_true-unreach-call.cil.c,0.06,1.8,5.2,14.99,8.88,0.0,0.0,24.53,24.56,0.0,0.0,7.16,28.11,0.0,0.06,10.62,2.1,14.53,7.67,11.13,27.1186,28.8136,32.2034,5.08475,67.7966,4.85893,2.53536,5.0,40.0,2220.0,400.0,67.0,1753.0,10.0
33,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-drivers-clk1__drivers-net-wireless-rtlwifi-rtl8723ae-rtl8723ae_true-unreach-call.cil.c,0.03,0.66,19.07,12.1,21.17,0.0,0.0,18.21,20.62,0.0,0.0,1.88,21.55,0.0,0.11,5.99,0.71,7.87,2.49,6.47,43.2203,61.8644,76.2712,2.54237,23.7288,2.19403,1.1005,5.0,58.0,4764.0,1338.0,140.0,3286.0,10.0
34,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__linux-kernel-locking-spinlock__drivers-net-wireless-ipw2x00-ipw2100_true-unreach-call.cil.c,0.05,0.91,9.13,16.8,12.14,0.0,0.0,29.18,26.43,0.0,0.0,11.13,32.84,0.0,0.02,9.16,2.72,13.0,11.28,9.02,53.4884,62.7907,73.2558,2.32558,26.7442,1.45773,0.909538,5.0,29.0,3661.0,877.0,81.0,2703.0,10.0
35,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-alloc-spinlock__drivers-media-usb-usbvision-usbvision_true-unreach-call.cil.c,0.06,0.79,1.94,12.3,7.04,0.0,0.0,21.44,21.31,0.0,0.0,8.47,26.06,0.0,0.0,8.15,0.95,10.19,8.6,11.69,21.2121,25.7576,39.3939,4.54545,60.6061,6.32638,3.5426699999999998,5.0,41.0,3766.0,1902.0,67.0,1797.0,10.0
36,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-kernel-locking-spinlock__drivers-net-ethernet-sun-sunhme_true-unreach-call.cil.c,0.12,0.78,7.46,22.5,10.46,0.0,0.0,29.12,29.78,0.0,0.0,9.8,32.06,0.0,0.0,11.79,1.08,15.46,9.86,6.67,53.6585,53.6585,65.8537,7.317069999999999,34.1463,2.90262,2.08333,5.0,17.0,1452.0,392.0,37.0,1023.0,10.0
37,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-usb-dev__drivers-net-wireless-rtlwifi-rtl8192de-rtl8192de_true-unreach-call.cil.c,0.04,1.64,16.51,10.86,19.98,0.0,0.0,16.74,20.38,0.0,0.0,2.16,21.79,0.0,0.06,6.37,1.03,8.06,3.19,9.01,49.6815,63.6943,77.0701,1.91083,22.9299,2.3439799999999997,1.10681,5.0,54.0,4657.0,1622.0,107.0,2928.0,10.0
38,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-drivers-clk1__drivers-net-wireless-rtlwifi-rtl8192se-rtl8192se_true-unreach-call.cil.c,0.05,0.58,12.87,14.26,15.65,0.0,0.0,21.45,25.33,0.0,0.0,3.19,26.42,0.0,0.0,8.99,0.91,11.51,4.05,9.02,39.759,49.3976,65.0602,3.61446,34.9398,3.7037,1.9047599999999998,5.0,55.0,3068.0,715.0,67.0,2286.0,10.0
39,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-drivers-clk1__drivers-media-pci-saa7164-saa7164_true-unreach-call.cil.c,0.06,3.76,1.92,15.93,10.18,0.0,0.0,28.64,28.07,0.0,0.0,6.86,35.72,0.0,0.0,11.5,1.23,14.66,7.01,13.37,29.2135,30.3371,37.0787,3.37079,62.9213,2.64059,1.18393,5.0,38.0,3487.0,953.0,80.0,2454.0,10.0
40,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-alloc-spinlock__drivers-net-ethernet-intel-igbvf-igbvf_true-unreach-call.cil.c,0.06,0.1,3.75,20.97,11.18,0.0,0.0,28.62,28.37,0.0,0.0,8.5,32.19,0.0,0.0,11.98,1.25,14.58,8.5,8.09,30.0,30.0,30.0,10.0,70.0,5.0578,3.54505,5.0,40.0,1900.0,378.0,41.0,1481.0,10.0
41,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__linux-kernel-locking-spinlock__drivers-net-wireless-mwifiex-mwifiex_true-unreach-call.cil.c,0.02,1.73,2.06,17.61,15.59,0.0,0.0,30.15,28.28,0.0,0.0,7.85,33.85,0.0,0.0,9.48,2.13,12.08,8.53,7.89,24.3386,28.0423,33.3333,1.0582,66.6667,1.59197,0.782918,5.0,56.0,6653.0,1844.0,179.0,4630.0,10.0
42,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-usb-dev__drivers-net-wireless-b43legacy-b43legacy_true-unreach-call.cil.c,0.04,1.63,11.3,18.34,11.18,0.0,0.0,21.39,21.01,0.0,0.0,4.56,26.06,0.0,0.21,6.53,1.19,8.57,5.44,13.09,65.4412,70.5882,78.6765,2.20588,21.3235,0.980873,0.47651499999999997,5.0,24.0,4533.0,1061.0,109.0,3363.0,10.0
43,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-drivers-clk1__drivers-net-wireless-libertas-libertas_true-unreach-call.cil.c,0.03,0.48,7.22,15.66,11.79,0.0,0.0,25.2,25.15,0.0,0.0,12.54,27.63,0.0,0.0,13.21,1.04,16.7,12.83,8.12,39.3443,42.623000000000005,55.7377,4.91803,44.2623,5.52579,3.3,5.0,31.0,3371.0,694.0,85.0,2592.0,10.0
44,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-kernel-locking-spinlock__drivers-media-usb-em28xx-em28xx-v4l_true-unreach-call.cil.c,0.1,0.61,0.77,13.79,5.45,0.0,0.0,22.95,21.25,0.0,0.0,5.91,23.98,0.0,0.0,7.97,0.92,10.19,5.97,6.48,5.40541,5.40541,8.10811,8.10811,91.8919,7.4240699999999995,4.17986,5.0,51.0,1606.0,171.0,30.0,1405.0,10.0
45,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-kernel-locking-mutex__drivers-net-ethernet-icplus-ipg_true-unreach-call.cil.c,0.13,1.37,4.87,16.82,6.45,0.0,0.0,25.06,25.96,0.0,0.0,12.36,29.39,0.0,0.0,9.75,1.23,13.8,12.36,10.3,44.8276,44.8276,58.6207,10.3448,41.3793,4.36006,3.23529,5.0,17.0,1169.0,247.0,24.0,898.0,10.0
46,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__linux-kernel-locking-mutex__drivers-media-usb-em28xx-em28xx_true-unreach-call.cil.c,0.13,1.88,5.86,17.71,13.87,0.0,0.0,32.7,29.57,0.0,0.0,9.51,37.52,0.0,0.13,9.7,1.69,13.94,9.7,16.61,32.0755,32.0755,35.8491,3.7735800000000004,64.1509,1.42119,0.716612,5.0,14.0,1925.0,360.0,27.0,1538.0,10.0
47,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-usb-dev__drivers-net-wireless-ipw2x00-ipw2200_true-unreach-call.cil.c,0.04,1.5,12.17,13.48,9.92,0.0,0.0,22.61,24.07,0.0,0.0,8.48,29.09,0.0,0.02,8.02,1.62,10.85,8.75,12.6,33.6735,38.7755,46.9388,3.06122,53.0612,1.13145,0.627287,5.0,52.0,3948.0,1073.0,106.0,2769.0,10.0
48,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-kernel-locking-mutex__drivers-net-netconsole_true-unreach-call.cil.c,0.14,0.0,0.14,15.33,4.59,0.0,0.0,18.79,17.52,0.0,0.0,8.9,20.77,0.0,0.0,11.94,0.07,12.86,8.9,2.47,0.0,0.0,9.090910000000001,27.2727,90.9091,9.74441,7.51232,5.0,12.0,791.0,60.0,14.0,717.0,10.0
49,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__linux-alloc-spinlock__drivers-net-ethernet-ti-tlan_true-unreach-call.cil.c,0.11,0.28,8.29,20.89,10.61,0.0,0.0,34.01,33.56,0.0,0.0,9.54,39.69,0.0,0.0,12.03,0.73,18.68,10.5,8.8,61.1111,61.1111,61.1111,5.55556,38.8889,2.5974,1.71038,5.0,13.0,1402.0,316.0,38.0,1048.0,10.0
50,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-usb-dev__drivers-media-usb-gspca-gspca_ov519_true-unreach-call.cil.c,0.19,1.53,7.17,9.37,6.98,0.0,0.0,21.14,22.39,0.0,0.0,11.86,24.4,0.0,0.0,6.69,1.24,11.57,11.96,16.65,44.4444,44.4444,61.1111,16.6667,38.8889,2.83353,1.14668,5.0,16.0,1686.0,172.0,34.0,1480.0,10.0
51,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-alloc-spinlock__drivers-media-pci-saa7134-saa7134_true-unreach-call.cil.c,0.04,1.06,5.63,16.48,7.39,0.0,0.0,27.39,26.0,0.0,0.0,6.23,29.26,0.0,0.0,11.01,0.36,15.88,6.53,5.63,26.1538,32.3077,38.4615,4.61538,61.5385,4.85714,2.8308400000000002,5.0,54.0,3746.0,607.0,75.0,3064.0,10.0
52,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-usb-dev__drivers-net-ethernet-renesas-sh_eth_true-unreach-call.cil.c,0.06,0.03,2.45,15.17,5.89,0.0,0.0,19.5,20.05,0.0,0.0,6.94,24.12,0.0,0.0,11.17,0.65,13.53,6.94,5.99,28.0,28.0,36.0,12.0,64.0,14.5881,8.843539999999999,5.0,30.0,1668.0,235.0,46.0,1387.0,10.0
53,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-alloc-spinlock__drivers-media-usb-gspca-stv06xx-gspca_stv06xx_true-unreach-call.cil.c,0.14,0.28,1.42,12.76,10.41,0.0,0.0,24.17,22.46,0.0,0.0,13.05,26.24,0.0,0.0,8.55,0.42,12.26,14.05,15.4,50.0,61.1111,66.6667,16.6667,33.3333,7.15232,4.21546,5.0,14.0,1392.0,352.0,24.0,1016.0,10.0
54,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-kernel-locking-mutex__drivers-media-rc-imon_true-unreach-call.cil.c,0.13,0.2,2.35,17.47,9.81,0.0,0.0,29.23,26.0,0.0,0.0,11.08,30.64,0.0,0.0,11.02,0.26,13.77,11.15,7.79,66.6667,66.6667,66.6667,25.0,33.3333,3.77604,2.45763,5.0,13.0,1039.0,100.0,27.0,912.0,10.0
55,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__complex_emg__linux-kernel-locking-mutex__drivers-net-ethernet-micrel-ks8851_true-unreach-call.cil.c,0.12,0.0,2.2,15.27,8.22,0.0,0.0,20.71,20.77,0.0,0.0,8.09,22.58,0.0,0.0,9.19,0.19,10.42,8.34,4.14,30.0,30.0,30.0,30.0,70.0,6.57343,5.14113,5.0,30.0,939.0,72.0,39.0,828.0,10.0
56,/proj/SMACK/sv-benchmarks/c/ldv-linux-3.14/linux-3.14__linux-drivers-clk1__drivers-net-ethernet-emulex-benet-be2net_true-unreach-call.cil.c,0.03,1.42,2.92,16.42,12.09,0.0,0.0,24.95,25.66,0.0,0.0,5.51,30.26,0.0,0.0,9.97,2.22,12.69,5.64,11.35,21.7742,27.4194,30.6452,1.6129,69.3548,2.9857,1.54465,5.0,947.0,4032.0,1197.0,82.0,2753.0,10.0
